play_team,games,rim_rate,rim_pct,mid_rate,mid_pct,arc_rate,arc_pct,opp_rim_rate,opp_rim_pct,opp_mid_rate,opp_mid_pct,opp_arc_rate,opp_arc_pct
Montana St. Bobcats,15,47.9,68.9,28.8,42.6,23.2,35.4,59.4,64.6,25.8,37.5,14.8,31.3
Morehead St. Eagles,15,59.6,66.3,26.9,38.5,13.5,32.1,54.4,65.6,26.4,39.0,19.2,36.0
Morgan St. Bears,15,56.1,66.7,31.7,39.4,12.2,29.4,62.0,72.2,23.0,39.7,15.0,36.0
Mount St. Mary's Mountaineers,16,53.0,64.5,27.0,36.3,20.0,30.8,53.8,66.5,30.7,40.4,15.5,34.0
Murray St. Racers,17,55.0,72.4,28.7,39.3,16.3,39.6,60.1,64.5,32.4,39.4,7.4,36.9
NC St. Wolfpack,15,55.1,70.9,20.8,35.9,24.0,41.7,54.2,66.2,16.7,39.1,29.1,34.3
NJIT Highlanders,16,50.1,60.6,30.1,36.5,19.8,32.1,58.3,64.0,26.2,35.2,15.5,33.7
Navy Midshipmen,16,62.5,68.1,25.0,34.6,12.6,33.3,49.9,64.2,36.6,33.7,13.6,32.2
Nebraska Cornhuskers,15,54.7,71.0,29.5,36.9,15.8,29.2,44.1,62.1,37.1,30.4,18.8,33.8
Nevada Wolf Pack,15,57.8,65.2,34.3,38.7,7.9,32.6,54.8,63.7,30.1,36.5,15.1,39.0
New Hampshire Wildcats,14,56.2,60.1,27.2,32.7,16.7,29.9,61.7,62.9,27.0,37.3,11.3,33.9
New Haven Chargers,15,53.3,62.7,31.1,36.7,15.7,28.6,56.2,64.4,28.1,42.0,15.7,30.6
New Mexico Highlands Cowboys,3,62.5,54.6,18.8,30.8,18.8,23.1,57.6,66.0,19.2,38.8,23.1,42.4
